,COMPANY_NAME,REGISTERED_STATE,EMAIL_ADDR
245,ACADEMIC CENTRE SOFTWARE AND MANAGEMENT EXCELLENCE PRIVATE LIMITED,Andaman and Nicobar Islands,
246,ANDAMAN COMPUTERS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
247,ANDAMAN INFOWAY PRIVATE LIMITED,Andaman and Nicobar Islands,
248,MULTIPLE AGENCIES PRIVATE LIMITED,Andaman and Nicobar Islands,
249,RAHMAT TRADING COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.COIN
250,K.DORAISWAMY TRADING CO.PRIVATE LIMITED,Andaman and Nicobar Islands,pblktco@bsnl.in
251,SRI KRISHNAVENI TRADING COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,pblktco@sancharnet.in
252,VISION ADVERTISING PRIVATE LIMITED,Andaman and Nicobar Islands,efile.casatya@gmail.com
253,ZAM SECURITIES PRIVATE LIMITED,Andaman and Nicobar Islands,ihbadat@gmail.com
254,ANDAMAN CLUB PRIVATE LIMITED,Andaman and Nicobar Islands,arorapb@gmail.com
255,GENEX RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,skynetfm@live.com
256,TALK AND TRIP MARKETING PRIVATE LIMITED,Andaman and Nicobar Islands,vinaykhannadiamond@gmail.com
257,ORIENT TRADING COMPANY PRIVATE LIMITED.,Andaman and Nicobar Islands,
258,ANDAMAN INDUSTRIAL ENTERPRISES PRIVATE LIMITED,Andaman and Nicobar Islands,
259,ANDAMAN AND NICOBAR ISLANDS INTEGRATED DEVELOPMENT CORPORATION LIMITED.,Andaman and Nicobar Islands,aniidco@gmail.com
260,KRISHPRATAP PLACEMENT SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,kuldeep.portblair@rediffmail.com
261,VANGUARD SHIPPING SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,ganesh1278@gamil.com
262,OCEAN TRIBE SCUBA PRIVATE LIMITED,Andaman and Nicobar Islands,ocean.tribe.scuba@gmail.com
263,BEST FOR YOU GOOD APPLIANCES PRIVATE LIMITED,Andaman and Nicobar Islands,mca@bmcgroup.in
264,ANDAMAN INNOVATIVE SYSTEMS & LOGISTICS PRIVATE LIMITED,Andaman and Nicobar Islands,isl_pb@rediffmail.com
265,DAAM UDYOG INDIA PRIVATE LIMITED,Andaman and Nicobar Islands,saidheerajsingh@gmail.com
266,MU STUDIOS PRIVATE LIMITED,Andaman and Nicobar Islands,nmkathiravan@gmail.com
267,OASIS PLAZA PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
268,MARUDHU PANDIYAN SECURITY & FACILITY MANAGEMENT SERVICE PRIVATE LIMITED (OPC),Andaman and Nicobar Islands,rajendranpalaniappan@rediffmail.com
269,ANDAMAN LEISURE PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
270,KITE INFRATECH PRIVATE LIMITED,Andaman and Nicobar Islands,prasanna1970@gmail.com
271,DEEP SEA RESORT (ANDAMAN) PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
272,HOLIDAY 2 ANDAMAN CORPORATE AND LEISURE TRAVELS PRIVATE LIMITED,Andaman and Nicobar Islands,holiday2andaman@gmail.com
273,ANDAMAN & NICOBAR MINERAL WATER PRIVATE LIMITED,Andaman and Nicobar Islands,RAJENDRAN.ANI24@GMAIL.COM
274,ANDAMAN SEA WONDERS PRIVATE LIMITED,Andaman and Nicobar Islands,SMJAVEDJAFRIN@GMAIL.COM
275,SAFECRACKERS TRAVEL AND EXCURSIONS INDIA (OPC) PRIVATE LIMITED,Andaman and Nicobar Islands,KARTEEK.TARUN@GMAIL.COM
276,ENCHANTING ANDAMANS TOUR (OPC) PRIVATE LIMITED,Andaman and Nicobar Islands,reachandamans@gmail.com
277,VERTIGO INFRASTRUCTURE PRIVATE LIMITED,Andaman and Nicobar Islands,SURAJSELVAM25@GMAIL.COM
278,NABAJIT REAL ESTATE PRIVATE LIMITED,Andaman and Nicobar Islands,INDRAJITMISTRY68@GMAIL.COM
279,MYUZ HOSPITALITY SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,ripos@andamanexoticholidays.com
280,SCUBA ADVENTURES PRIVATE LIMITED,Andaman and Nicobar Islands,santosh.dayarkar@gmail.com
281,BAUL & SONS PRIVATE LIMITED,Andaman and Nicobar Islands,baulindia57@gmail.com
282,ANDAMAN AIRWAYS PRIVATE LIMITED,Andaman and Nicobar Islands,nadeemixz@gmail.com
283,ANDAMAN AQUA WATER SPORTS PRIVATE LIMITED,Andaman and Nicobar Islands,SUNILMUKUL_89@REDIFFMAIL.COM
284,RUBIECUBE PRIVATE LIMITED,Andaman and Nicobar Islands,rubiecubepvtltd@gmail.com
285,COLOURS OF EMERALD ISLANDS PRIVATE LIMITED,Andaman and Nicobar Islands,ramesh@divemantra.com
286,SHADELOFT INNOVATION PRIVATE LIMITED,Andaman and Nicobar Islands,mac.seagem@gmail.com
287,MEMORIES ANDAMAN TRAVELS AND ADVENTURES PRIVATE LIMITED,Andaman and Nicobar Islands,sunilmukul_sa@rediffmail.com
288,DUGONG SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,manishraj280389@gmail.com
289,ANDAMAN SEA TREK ADVENTURES PRIVATE LIMITED,Andaman and Nicobar Islands,kd.anup@gmail.com
290,ANDAMAN GALAXY SHIP MANAGEMENT PRIVATE LIMITED,Andaman and Nicobar Islands,nvsabith@gmail.com
291,ANDAMAN REEF PRIVATE LIMITED,Andaman and Nicobar Islands,shiprabikram@yahoo.com
292,RITIKA'S DIAGNOSTIC SOLUTIONS PRIVATE LIMITED,Andaman and Nicobar Islands,solutionsdiagnostic@gmail.com
293,OFF ROAD SPORTS PRIVATE LIMITED,Andaman and Nicobar Islands,contact@andamanisland.in
294,ANDAMAN SAHA PRIVATE LIMITED,Andaman and Nicobar Islands,kawshiksaha26@gmail.com
295,YELLOWBOARD VACATIONS PRIVATE LIMITED,Andaman and Nicobar Islands,ashwin_d@live.com
296,100KEYS TRADECOM PRIVATE LIMITED,Andaman and Nicobar Islands,contact@tttrading.in
297,REEF VALLEY RESORT (OPC) PRIVATE LIMITED,Andaman and Nicobar Islands,dr.bhagirathdebnath@gmail.com
298,ADORABLE ANDAMAN LEISURE PRIVATE LIMITED,Andaman and Nicobar Islands,sunilmukul1004@gmail.com
299,ISLAND DATA SOLUTIONS PRIVATE LIMITED,Andaman and Nicobar Islands,sunshinecables@gmail.com
300,SHRINE MEDIA PRIVATE LIMITED,Andaman and Nicobar Islands,annu.ixz@gmail.com
301,EKOISLAND HOSPITALITY PRIVATE LIMITED,Andaman and Nicobar Islands,khadi999@gmail.com
302,MEENAKSHI SHIPPING SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,meenakshishipping@gmail.com
303,SEVENHILLS GOLD & SILVER PRIVATE LIMITED,Andaman and Nicobar Islands,trmurugeshan@gmail.com
304,BAY ISLANDS SHIPPING COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,
305,HINENGO LINES PRIVATE LIMITED.,Andaman and Nicobar Islands,
306,ANDAMAN SHIPPING COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,
307,SHANTI SHIPPING COMPANY LIMITED,Andaman and Nicobar Islands,
308,ISLAND MARINE TRANSPORTS PRIVATE LIMITED,Andaman and Nicobar Islands,
309,AQUA DYNAMICS PRIVATE LIMITED,Andaman and Nicobar Islands,
310,SHAJEE SHIPPING COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,
311,ANDAMAN CARGO CARRIERS PRIVATE LIMITED,Andaman and Nicobar Islands,
312,INLAND MARINE WORKS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
313,RAJ MARINE SERVICES PRIVATE LIMITED.,Andaman and Nicobar Islands,rajcocal@yahoo.co.in
314,KERSI NOBLE OCEANIC TRANSIT SYSTEMS PRIVATE LIMITED,Andaman and Nicobar Islands,
315,SAPTAGIRI SHIPPING & CO. PRIVATE LIMITED,Andaman and Nicobar Islands,
316,MAK LOGISTICS PRIVATE LIMITED,Andaman and Nicobar Islands,makpbl@yahoo.com
317,I T T LINES PRIVATE LIMITED,Andaman and Nicobar Islands,add_associates@yahoo.in
318,RAHMAT SHIPPING PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
319,STAR SHIPPING LOGISTICS PRIVATE LIMITED,Andaman and Nicobar Islands,ravichandransca@yahoo.com
320,GREEN OCEAN SEAWAYS PRIVATE LIMITED,Andaman and Nicobar Islands,sunilsreedharan@gmail.com
321,SEA CABS PRIVATE LIMITED,Andaman and Nicobar Islands,NVSABITH@GMAIL.COM
322,SAKTHI SHIPPING SERVICES (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
323,DOONGI DIVES PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@vlp.co.in
324,DIVE ANDAMAN (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
325,FULI AQUA PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
326,PRASANTA SHIPPING PRIVATE LIMITED,Andaman and Nicobar Islands,NIKHILKUMARDHALI75@GMAIL.COM
327,NACHI MARINE SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,kavitaravi75@outlook.com
328,PROMILA SHIPPING PRIVATE LIMITED,Andaman and Nicobar Islands,HARILAL8485@GMAIL.COM
329,KUCHAT SHIPPING PRIVATE LIMITED,Andaman and Nicobar Islands,hsamuelkuchat@gmail.com
330,ABLE AVIATION (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,nadeem@able-aviation.com
331,BIZ AVIATIONS AND LOGISTIC PRIVATE LIMITED,Andaman and Nicobar Islands,mahabirtradingpb@yahoo.com
332,SEA LINK AQUA VENTURES PRIVATE LIMITED,Andaman and Nicobar Islands,asif_spacelink@yahoo.com
333,ANDAMAN GAME FISHING PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
334,APT LOGISTICS PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
335,ONLINE ANDAMAN TRAVEL PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
336,ANDABAR COLD STORES PRIVATE LIMITED,Andaman and Nicobar Islands,vaksusi@gmail.com
337,SAGAR KUMARI SHIPPING PRIVATE LIMITED,Andaman and Nicobar Islands,vikaslalp@gmail.com
338,MAKE MY JOURNEY (OPC) PRIVATE LIMITED,Andaman and Nicobar Islands,IHAROY@GMAIL.COM
339,ANDAMAN EXCURSION PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
340,CUSP TRAVEL SOLUTIONS PRIVATE LIMITED,Andaman and Nicobar Islands,roseminegroup@gmail.com
341,ANDAMAN BLUE QUEEN TRAVEL SOLUTIONS PRIVATE LIMITED,Andaman and Nicobar Islands,gsureshdebe@gmail.com
342,GURUGRAM SIRSA TRANSPORT PRIVATE LIMITED,Andaman and Nicobar Islands,bizpackers2011@gmail.com
343,YOUR DREAM JOURNEY PRIVATE LIMITED,Andaman and Nicobar Islands,djsajid22@gmal.com
344,BAY ISLAND TRADING AND MARINE SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,cababubadat@gmail.com
345,DOLPHIN AQUA PRODUCTS PRIVATE LIMITED,Andaman and Nicobar Islands,
346,THE SAGAR TOURS & TRAVELS PRIVATE LIMITED,Andaman and Nicobar Islands,
347,BABA TRAVELS PRIVATE LIMITED,Andaman and Nicobar Islands,
348,ISLAND TRAVELS PRIVATE LIMITED,Andaman and Nicobar Islands,islandtravels@yahoo.com
349,ANDAMAN TOURIST COTTAGE PRIVATE LIMITED,Andaman and Nicobar Islands,
350,ANDAMAN EXPLORERS PRIVATE LIMITED,Andaman and Nicobar Islands,babubadat@gmail.com
351,ANDAMAN HOLIDAYS PRIVATE LIMITED,Andaman and Nicobar Islands,dscchennai@yahoo.in
352,FC TOURS AND RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,ssaandco@yahoo.com
353,ANDAMAN WORLD TRAVELS PRIVATE LIMITED,Andaman and Nicobar Islands,andamanworldtravels@gmail.com
354,R D R TRAVEL ADVISORS PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
355,GLOBUS AVIATION PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
356,HEAVEN ON OCEAN TOURISM PRIVATE LIMITED,Andaman and Nicobar Islands,gauthamjai06@yahoo.co.in
357,SANDS OF ANDAMAN TRAVEL PRIVATE LIMITED,Andaman and Nicobar Islands,resrvation@sandsofandaman.com
358,WEBPORT MEDIA PRIVATE LIMITED,Andaman and Nicobar Islands,legal@webport.in
359,WELCOME ANDAMAN TRAVELS PRIVATE LIMITED,Andaman and Nicobar Islands,CONTACT@WELCOMEANDAMANISLANDS.COM
360,BLUECRAFT HOLIDAYS LEISURE (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,BLUECRAFTHOLIDAYS@GMAIL.COM
361,WOODLAND TRAVELS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
362,ANDAMAN VISION TOUR & TRAVELS PRIVATE LIMITED,Andaman and Nicobar Islands,tanumaguha@gmail.com
363,EXPERIENCE ANDAMANS TOURS PRIVATE LIMITED,Andaman and Nicobar Islands,azhar@experienceandamans.com
364,BOND OCEAN SAFARI ANDAMAN PRIVATE LIMITED,Andaman and Nicobar Islands,sandigit@gmail.com
365,CLUB TAXI AND TRAVELS PRIVATE LIMITED,Andaman and Nicobar Islands,ashah021211@gmail.com
366,GREEN ISLANDS INSTITUTE OF COMPUTER TRAINING PRIVATE LIMITED,Andaman and Nicobar Islands,tapasroy7@gmail.com
367,TECH EDUCATION2 PRIVATE LIMITED,Andaman and Nicobar Islands,roc.casatya@gmail.com
368,VIDYA YUVAKENDRA FOUNDATION,Andaman and Nicobar Islands,subbiahandco@gmail.com
369,ROHIN'S HOSPITAL PRIVATE LIMITED,Andaman and Nicobar Islands,rohindra_lall@yahoo.com
370,WELLCARE AYURVEDALAYAM (ANDAMAN) PRIVATE LIMITED,Andaman and Nicobar Islands,andamanhealth@gmail.com
371,MALLICK CONSULTANCY PRIVATE LIMITED,Andaman and Nicobar Islands,mallickconsultancy@gmail.com
372,ANDAMAN SAVINGS AND INDUSTRIAL INVESTMENTS (INDIA) LIMITED,Andaman and Nicobar Islands,
373,YOGI FINANCE AND INVESTMENTS PRIVATE LIMITED,Andaman and Nicobar Islands,mehtakolkata@vsnl.net
374,ISLANDERS MARGIN FREE FINSERVICE PRIVATE LIMITED,Andaman and Nicobar Islands,kesavan@icai.org
375,MAINAK PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,mainak_pbl_andamans@yahoo.co.in
376,ANDAMAN BUBBLES PRIVATE LIMITED,Andaman and Nicobar Islands,mhjadwet@hotmail.com
377,MANTRA WATER SPORTS EQUIPMENT PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
378,ECO DIVER INDIA PRIVATE LIMITED,Andaman and Nicobar Islands,info@ecodiver.in
379,A&N CRICKET FEDERATION,Andaman and Nicobar Islands,jainkgupta@gmail.com
380,DEGREE CELSIUS TOURISM PRIVATE LIMITED,Andaman and Nicobar Islands,cam.rat10@gmail.com
381,ANDAMAN ADVENTURE SPORTS PRIVATE LIMITED,Andaman and Nicobar Islands,
382,ANDAMAN SCUBA CLUB PRIVATE LIMITED,Andaman and Nicobar Islands,
383,HIGH SEAS SPORTS CLUB PRIVATE LIMITED (OPC),Andaman and Nicobar Islands,DRYMBEI@GMAIL.COM
384,STARFISH ADVENTURES PRIVATE LIMITED,Andaman and Nicobar Islands,tauseefrasheed21@gmail.com
385,KP GAMES AND EATERIES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
386,DIVEINDIA EXPLORER PRIVATE LIMITED,Andaman and Nicobar Islands,vnairi09@gmail.com
387,ANDAMAN ISLAND TRAVELS PRIVATE LIMITED,Andaman and Nicobar Islands,CONTACT@ANDAMANISLAND.IN
388,ANDAMAN ESCAPADES PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
389,BIZ PACKERS AND MOVERS PRIVATE LIMITED,Andaman and Nicobar Islands,BIZPACKERS2011@GMAIL.COM
390,KUBER DHANMANTHAN MULTI LEVEL MARKETING(INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,efiling.chanakya@gmail.com
391,INCREDIBLE ANDAMAN TOURISM (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.COM.IN
392,PGK EDUCATIONAL SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,pragatiandaman@gmail.com
393,PATROL MOBILE PRIVATE LIMITED,Andaman and Nicobar Islands,CA.PATEL@VLP.CO.IN
394,HAVELOCK ISLAND BEACH RESORT PRIVATE LIMITED,Andaman and Nicobar Islands,CONTACT@ANADAMANISLAND.IN
395,ANDAMAN ECSTASY PRIVATE LIMITED,Andaman and Nicobar Islands,esctasyandaman@gmail.com
396,ANDAMAN SEA KING PRIVATE LIMITED,Andaman and Nicobar Islands,mallickconsultancy@gmail.com
397,ORCHESTRATE HOLIDAY PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
398,ANDAMAN SCRIBES PRIVATE LIMITED,Andaman and Nicobar Islands,ONJAISWAL@GMAIL.COM
399,NANDANAM COMMUNICATION & AUTOTRADE PRIVATE LIMITED,Andaman and Nicobar Islands,RAHULN033@GMAIL.COM
400,ANDAMAN XTASEA EVENTS PRIVATE LIMITED,Andaman and Nicobar Islands,ecstasyeventspvt.ltd@gmail.com
401,DIVE MANTRA PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
402,PORT BLAIR SMART PROJECTS LIMITED,Andaman and Nicobar Islands,smartcityportblair@gmail.com
